iso3,year,isscaap_group,variable,units,source,value
AGO,2016,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),15190
AGO,2016,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),121654
AGO,2016,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),3105
AGO,2016,"Shrimps, prawns",capture_production,tonnes,FAO (2019),541
AGO,2016,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),996
AGO,2016,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),5169
AGO,2017,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),10862
AGO,2017,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),1629
AGO,2017,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),24694
AGO,2017,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),199922
AGO,2017,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),207
AGO,2017,Marine fishes not identified,capture_production,tonnes,FAO (2019),21648
AGO,2017,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),92868
AGO,2017,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),6780
AGO,2017,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),97659
AGO,2017,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),3809
AGO,2017,"Shrimps, prawns",capture_production,tonnes,FAO (2019),910
AGO,2017,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),3610
AGO,2017,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),18876
AIA,2000,"Abalones, winkles, conchs",capture_production,tonnes,FAO (2019),53
AIA,2000,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),150
AIA,2000,Marine fishes not identified,capture_production,tonnes,FAO (2019),335
AIA,2001,"Abalones, winkles, conchs",capture_production,tonnes,FAO (2019),53
AIA,2001,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),160
AIA,2001,Marine fishes not identified,capture_production,tonnes,FAO (2019),350
AIA,2002,"Abalones, winkles, conchs",capture_production,tonnes,FAO (2019),53
AIA,2002,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),170
AIA,2002,Marine fishes not identified,capture_production,tonnes,FAO (2019),365
AIA,2003,"Abalones, winkles, conchs",capture_production,tonnes,FAO (2019),53
AIA,2003,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),180
AIA,2003,Marine fishes not identified,capture_production,tonnes,FAO (2019),380
AIA,2004,"Abalones, winkles, conchs",capture_production,tonnes,FAO (2019),53
AIA,2004,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),190
AIA,2004,Marine fishes not identified,capture_production,tonnes,FAO (2019),395
AIA,2005,"Abalones, winkles, conchs",capture_production,tonnes,FAO (2019),53
AIA,2005,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),200
AIA,2005,Marine fishes not identified,capture_production,tonnes,FAO (2019),410
AIA,2006,"Abalones, winkles, conchs",capture_production,tonnes,FAO (2019),53
AIA,2006,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),210
AIA,2006,Marine fishes not identified,capture_production,tonnes,FAO (2019),425
AIA,2007,"Abalones, winkles, conchs",capture_production,tonnes,FAO (2019),53
AIA,2007,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),220
AIA,2007,Marine fishes not identified,capture_production,tonnes,FAO (2019),440
AIA,2008,"Abalones, winkles, conchs",capture_production,tonnes,FAO (2019),47
AIA,2008,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),232
AIA,2008,Marine fishes not identified,capture_production,tonnes,FAO (2019),460
AIA,2009,"Abalones, winkles, conchs",capture_production,tonnes,FAO (2019),153
AIA,2009,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),131
AIA,2009,Marine fishes not identified,capture_production,tonnes,FAO (2019),333
AIA,2010,"Abalones, winkles, conchs",capture_production,tonnes,FAO (2019),196
AIA,2010,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),115
AIA,2010,Marine fishes not identified,capture_production,tonnes,FAO (2019),309
AIA,2011,"Abalones, winkles, conchs",capture_production,tonnes,FAO (2019),297
AIA,2011,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),128
AIA,2011,Marine fishes not identified,capture_production,tonnes,FAO (2019),459
